"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"810110","810110","GRIFO SAN IGNACIO A","-12.1740888","-76.9889388","","","0","","America/Lima","0"
"810111","810111","ESCUELA PNP A","-12.174555","-76.9932369","","","0","","America/Lima","0"
"810112","810112","AV SOL A","-12.178203","-76.996383","","","0","","America/Lima","0"
"810113","810113","MERCADO SANTA ROSA A","-12.1823419","-76.9994619","","","0","","America/Lima","0"
"810115","810115","CURVA HUAYLAS","-12.184543","-77.006325","","","0","","America/Lima","0"
"810116","810116","AV. SANTA ANITA A","-12.1870219","-77.0078599","","","0","","America/Lima","0"
"2306","2306","Av. De la revolucion - sn","-11.859935","-77.1250008","","","0","","America/Lima","0"
"2305","2305","Av. Cuzco - sn","-11.861105","-77.1283769","","","0","","America/Lima","0"
"2304","2304","Av. Arequipa - sn","-11.8575388","-77.1284927","","","0","","America/Lima","0"
"2302","2302","Av. Huaura - sn","-11.8556158","-77.1285269","","","0","","America/Lima","0"
"2301","2301","Av. Trujillo - sn","-11.8536097","-77.1285827","","","0","","America/Lima","0"
"2300","2300","Ovalo Tumbes - sn","-11.8518583","-77.128245","","","0","","America/Lima","0"
"810106","810106","MOLL DEL SUR","-12.1521611","-76.9838161","","","0","","America/Lima","0"
"810107","810107","AMUATA","-12.1615319","-76.98222","","","0","","America/Lima","0"
"810108","810108","PTE. ALIPIO A","-12.1694188","-76.9803638","","","0","","America/Lima","0"
"810109","810109","CEMENTERIO PNP A","-12.17235","-76.9831738","","","0","","America/Lima","0"
"2309","2309","Mercado Sr Milagros - sn","-11.8774808","-77.1286177","","","0","","America/Lima","0"
"2308","2308","Beltran - sn","-11.8726377","-77.1273727","","","0","","America/Lima","0"
"2307","2307","Pavayacu - sn","-11.8711288","-77.1254877","","","0","","America/Lima","0"
"810120","810120","PLAZA VEA A","-12.19701","-77.011198","","","0","","America/Lima","0"
"810121","810121","TIENDA VERDE A","-12.20108","-77.0141699","","","0","","America/Lima","0"
"810122","810122","LOS INCAS A","-12.2023588","-77.0150911","","","0","","America/Lima","0"
"810123","810123","MARQUEZ A","-12.2040361","-77.0163019","","","0","","America/Lima","0"
"810124","810124","BALLESTAS A","-12.2059719","-77.0176811","","","0","","America/Lima","0"
"810125","810125","ESPAÑOLA A","-12.2077088","-77.01531","","","0","","America/Lima","0"
"810126","810126","TRANQUERA A","-12.209065","-77.0133788","","","0","","America/Lima","0"
"810127","810127","TRILCE A","-12.2049188","-77.0091088","","","0","","America/Lima","0"
"1","1","Ceres - EO","-12.034183","-76.9258997","","","0","","America/Lima","0"
"2","2","Berlin - EO","-12.0381919","-76.924445","","","0","","America/Lima","0"
"2315","2315","Av. Tacna - sn","-11.8594258","-77.1284638","","","0","","America/Lima","0"
"2314","2314","Brisas - sn","-11.8495327","-77.1234858","","","0","","America/Lima","0"
"3","3","Holanda - EO","-12.0421627","-76.9257527","","","0","","America/Lima","0"
"2313","2313","Brisas - ns","-11.8498208","-77.1235158","","","0","","America/Lima","0"
"4","4","Vista Alegre - EO","-12.0432","-76.93009","","","0","","America/Lima","0"
"2312","2312","Mercado - sn","-11.8665138","-77.1436169","","","0","","America/Lima","0"
"5","5","Paris - EO","-12.0466977","-76.9360308","","","0","","America/Lima","0"
"6","6","Monumental - EO","-12.06052","-76.93837","","","0","","America/Lima","0"
"2311","2311","Av. La playa - sn","-11.8723308","-77.1386547","","","0","","America/Lima","0"
"7","7","Huarochiri - EO","-12.0639527","-76.93965","","","0","","America/Lima","0"
"2310","2310","Av. Los Heroes - sn","-11.8761708","-77.1354097","","","0","","America/Lima","0"
"810117","810117","LA CHIRA A","-12.1898969","-77.0067938","","","0","","America/Lima","0"
"8","8","Flora Tristan - EO","-12.0664338","-76.9438777","","","0","","America/Lima","0"
"9","9","Ingenieros - EO","-12.0684938","-76.9483958","","","0","","America/Lima","0"
"810119","810119","LOS PINO A","-12.1937149","-77.0089438","","","0","","America/Lima","0"
"327021","327021","SOLEDAD","-12.0904194","-77.0337111","","","0","","America/Lima","0"
"327023","327023","PAZ SOLDAN","-12.0966111","-77.0328111","","","0","","America/Lima","0"
"327022","327022","M.BAÑON","-12.0942611","-77.0331369","","","0","","America/Lima","0"
"327025","327025","R.MORALES","-12.1026805","-77.0318194","","","0","","America/Lima","0"
"327024","327024","CHOQUEHUANCA","-12.099253","-77.0323761","","","0","","America/Lima","0"
"810100","810100","PEDAGOGICO A","-12.1218661","-76.977253","","","0","","America/Lima","0"
"810101","810101","PROSEGUR A","-12.127078","-76.977103","","","0","","America/Lima","0"
"810102","810102","BENAVIDES A","-12.1311088","-76.9783","","","0","","America/Lima","0"
"810103","810103","RICARDO PALMA A","-12.1350711","-76.9799388","","","0","","America/Lima","0"
"810104","810104","TOTTUS A","-12.14568","-76.98209","","","0","","America/Lima","0"
"810105","810105","PTE ATOCONGO A","-12.1495969","-76.9833538","","","0","","America/Lima","0"
"327016","327016","PARDO Y ALIAGA - SN","-12.1075286","-77.0370327","","","0","","America/Lima","0"
"327017","327017","CONDE DE LA MONCLOVA - SN","-12.1031402","-77.0368611","","","0","","America/Lima","0"
"810153","810153","BENAVIDES B","-12.131568","-76.9783099","","","0","","America/Lima","0"
"810154","810154","PROSEGUR B","-12.1275661","-76.9769169","","","0","","America/Lima","0"
"810155","810155","PEDAGOGICO B","-12.1222511","-76.977065","","","0","","America/Lima","0"
"810156","810156","VIVANCO B","-12.1145361","-76.977605","","","0","","America/Lima","0"
"810157","810157","PRIMAVERA B","-12.1114761","-76.9779061","","","0","","America/Lima","0"
"810158","810158","PENTAGONITO B","-12.1027738","-76.979208","","","0","","America/Lima","0"
"810159","810159","PUERTA CENTRO B","-12.0928261","-76.9804711","","","0","","America/Lima","0"
"810150","810150","ATOCONGO B","-12.1496669","-76.9830761","","","0","","America/Lima","0"
"810151","810151","TOTTUS B","-12.145983","-76.9819669","","","0","","America/Lima","0"
"810152","810152","RICARDO PALMA","-12.135578","-76.979875","","","0","","America/Lima","0"
"514207","514207","Cl 121 entre Cl 121D y Kr 28D","3.4088313","-76.4736508","","","0","","America/Lima","0"
"514206","514206","Cl 121 entre Cl 122A3 y 122A2","3.4068422","-76.4747716","","","0","","America/Lima","0"
"327005","327005","CHOQUEHUANCA - NS","-12.0985405","-77.0370191","","","0","","America/Lima","0"
"327007","327007","DASSO - NS","-12.1064722","-77.0394861","","","0","","America/Lima","0"
"327006","327006","ANTONIO PEZET - NS","-12.1029488","-77.0387327","","","0","","America/Lima","0"
"810164","810164","PINOS B","-12.054","-76.97512","","","0","","America/Lima","0"
"810165","810165","PTE AZUL B","-12.0509038","-76.9770238","","","0","","America/Lima","0"
"810166","810166","PERALES B","-12.0473219","-76.9809988","","","0","","America/Lima","0"
"810167","810167","NOCHETO B","-12.0440638","-76.9846811","","","0","","America/Lima","0"
"810168","810168","ATARJEA B","-12.0414","-76.98709","","","0","","America/Lima","0"
"810169","810169","PRIALE B","-12.03379","-76.9900769","","","0","","America/Lima","0"
"810160","810160","JAVIER PRADO B","-12.083783","-76.98069","","","0","","America/Lima","0"
