"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","wheelchair_accessible","bikes_allowed"
"5_405","19040503003005","19040503003005","EN TRANSITO","1","5_40503","0",""
"5_405","19040507002005","19040507002005","EN TRANSITO","0","5_40507","0",""
"13_3705","19037017001013","19037017001013","EN TRANSITO","0","13_37017","0",""
"15_123","19123134002015","19123134002015","Peycar SN","0","15_123134","0",""
"4_371","19071902012004","19071902012004","EN TRANSITO","0","4_71902","0",""
"5_404","19040414004005","19040414004005","EN TRANSITO","0","5_40414","0",""
"15_123","19123049002015","19123049002015","Peycar SN","0","15_123049","0",""
"15_123","19123097002015","19123097002015","La Granja Villa NS","1","15_123097","0",""
"4_370","19070904014004","19070904014004","EN TRANSITO","0","4_70904","0",""
"13_3705","19037013002013","19037013002013","EN TRANSITO","1","13_37013","0",""
"15_123","19123182002015","19123182002015","Peycar SN","0","15_123182","0",""
"5_404","19040418003005","19040418003005","EN TRANSITO","1","5_40418","0",""
"5_5409","19540902004005","19540902004005","EN TRANSITO","0","5_540902","0",""
"4_371","19071502027004","19071502027004","EN TRANSITO","1","4_71502","0",""
"5_406","19040604011005","19040604011005","EN TRANSITO","1","5_40604","0",""
"5_404","19040410005005","19040410005005","EN TRANSITO","1","5_40410","0",""
"13_3705","19037036004013","19037036004013","EN TRANSITO","1","13_37036","0",""
"5_406","19040607012005","19040607012005","EN TRANSITO","0","5_40607","0",""
"4_371","19071501010004","19071501010004","EN TRANSITO","0","4_71501","0",""
"4_357","19005008002004","19005008002004","EN TRANSITO","0","4_5008","0",""
"13_3705","19037032005013","19037032005013","EN TRANSITO","0","13_37032","0",""
"15_123","19123274002015","19123274002015","Peycar SN","0","15_123274","0",""
"13_3705","19037039005013","19037039005013","EN TRANSITO","0","13_37039","0",""
"4_301","19005001002004","19005001002004","EN TRANSITO","0","4_5001","0",""
"5_412","19041211002005","19041211002005","EN TRANSITO","0","5_41211","0",""
"5_404","19040407010005","19040407010005","EN TRANSITO","0","5_40407","0",""
"5_412","19041208008005","19041208008005","EN TRANSITO","0","5_41208","0",""
"9_355","19000001057009","19000001057009","EN TRANSITO","0","9_1","0",""
"9_355","19000001075009","19000001075009","EN TRANSITO","0","9_1","0",""
"5_5409","19540903002005","19540903002005","EN TRANSITO","0","5_540903","0",""
"5_404","19040419001005","19040419001005","EN TRANSITO","1","5_40419","0",""
"4_370","19070901013004","19070901013004","EN TRANSITO","1","4_70901","0",""
"4_371","19071901014004","19071901014004","EN TRANSITO","0","4_71901","0",""
"4_305","19050172009004","19050172009004","EN TRANSITO","1","4_50172","0",""
"5_412","19041209006005","19041209006005","EN TRANSITO","0","5_41209","0",""
"5_404","19040411003005","19040411003005","EN TRANSITO","1","5_40411","0",""
"4_301","19010262001004","19010262001004","EN TRANSITO","1","4_10262","0",""
"4_301","19001035006004","19001035006004","EN TRANSITO","0","4_1035","0",""
"13_3705","19037031007013","19037031007013","EN TRANSITO","1","13_37031","0",""
"4_305","19001061002004","19001061002004","EN TRANSITO","0","4_1061","0",""
"5_412","19041201008005","19041201008005","EN TRANSITO","0","5_41201","0",""
"5_5409","19540901006005","19540901006005","EN TRANSITO","0","5_540901","0",""
"4_371","19071501029004","19071501029004","EN TRANSITO","1","4_71501","0",""
"5_412","19041206005005","19041206005005","EN TRANSITO","1","5_41206","0",""
"15_123","19123090002015","19123090002015","Peycar SN","0","15_123090","0",""
"13_3705","19037016003013","19037016003013","EN TRANSITO","1","13_37016","0",""
"5_405","19040504001005","19040504001005","EN TRANSITO","1","5_40504","0",""
"5_405","19040506004005","19040506004005","EN TRANSITO","0","5_40506","0",""
"5_405","19040502005005","19040502005005","EN TRANSITO","1","5_40502","0",""
"4_371","19071902030004","19071902030004","EN TRANSITO","0","4_71902","0",""
"4_301","19005007004004","19005007004004","EN TRANSITO","0","4_5007","0",""
"4_305","19001029010004","19001029010004","EN TRANSITO","0","4_1029","0",""
"15_123","19123073002015","19123073002015","La Granja Villa NS","1","15_123073","0",""
"13_3705","19037038007013","19037038007013","EN TRANSITO","1","13_37038","0",""
"9_355","19000001100009","19000001100009","EN TRANSITO","1","9_1","0",""
"5_412","19041202006005","19041202006005","EN TRANSITO","0","5_41202","0",""
"4_301","19001048001004","19001048001004","EN TRANSITO","1","4_1048","0",""
"9_355","19000001027009","19000001027009","EN TRANSITO","0","9_1","0",""
"5_412","19041204009005","19041204009005","EN TRANSITO","1","5_41204","0",""
"5_412","19041214003005","19041214003005","EN TRANSITO","1","5_41214","0",""
"9_355","19000002025009","19000002025009","EN TRANSITO","0","9_2","0",""
"4_357","19010261003004","19010261003004","EN TRANSITO","1","4_10261","0",""
"5_412","19041215001005","19041215001005","EN TRANSITO","1","5_41215","0",""
"4_357","19005005001004","19005005001004","EN TRANSITO","1","4_5005","0",""
"9_355","19000002073009","19000002073009","EN TRANSITO","0","9_2","0",""
"5_405","19040505006005","19040505006005","EN TRANSITO","0","5_40505","0",""
"4_301","19005004003004","19005004003004","EN TRANSITO","1","4_5004","0",""
"5_406","19040608010005","19040608010005","EN TRANSITO","0","5_40608","0",""
"15_123","19123042002015","19123042002015","La Granja Villa NS","1","15_123042","0",""
"13_3705","19037033003013","19037033003013","EN TRANSITO","0","13_37033","0",""
"13_3705","19037052006013","19037052006013","EN TRANSITO","0","13_37052","0",""
"13_3705","19037007007013","19037007007013","EN TRANSITO","0","13_37007","0",""
"5_412","19041205007005","19041205007005","EN TRANSITO","1","5_41205","0",""
"13_3705","19037035006013","19037035006013","EN TRANSITO","0","13_37035","0",""
"5_412","19041203004005","19041203004005","EN TRANSITO","0","5_41203","0",""
"15_123","19123025002015","19123025002015","Peycar SN","0","15_123025","0",""
"4_305","19001014007004","19001014007004","EN TRANSITO","1","4_1014","0",""
"4_371","19071902042004","19071902042004","EN TRANSITO","0","4_71902","0",""
"13_3705","19037048001013","19037048001013","EN TRANSITO","1","13_37048","0",""
"4_305","19005006006004","19005006006004","EN TRANSITO","0","4_5006","0",""
"4_301","19010432001004","19010432001004","EN TRANSITO","1","4_10432","0",""
"15_123","19123250002015","19123250002015","Peycar SN","0","15_123250","0",""
"15_123","19123151002015","19123151002015","La Granja Villa NS","1","15_123151","0",""
"13_3705","19037044002013","19037044002013","EN TRANSITO","1","13_37044","0",""
"15_123","19123066002015","19123066002015","Peycar SN","0","15_123066","0",""
"13_3705","19037027008013","19037027008013","EN TRANSITO","1","13_37027","0",""
"4_357","19050171004004","19050171004004","EN TRANSITO","0","4_50171","0",""
"5_404","19040412008005","19040412008005","EN TRANSITO","0","5_40412","0",""
"13_3705","19037019004013","19037019004013","EN TRANSITO","1","13_37019","0",""
"9_355","19000001045009","19000001045009","EN TRANSITO","0","9_1","0",""
"13_3705","19037015005013","19037015005013","EN TRANSITO","0","13_37015","0",""
"5_412","19041213005005","19041213005005","EN TRANSITO","1","5_41213","0",""
"5_405","19040509005005","19040509005005","EN TRANSITO","1","5_40509","0",""
"4_370","19070501016004","19070501016004","EN TRANSITO","0","4_70501","0",""
"5_412","19041203010005","19041203010005","EN TRANSITO","0","5_41203","0",""
"5_412","19041217004005","19041217004005","EN TRANSITO","0","5_41217","0",""
"4_357","19009010001004","19009010001004","EN TRANSITO","1","4_9010","0",""
"5_412","19041206011005","19041206011005","EN TRANSITO","1","5_41206","0",""
"5_404","19040402007005","19040402007005","EN TRANSITO","1","5_40402","0",""
