"agency_id","agency_name","agency_url","agency_timezone","agency_lang"
"RAP","","","Europe/Berlin","de"
"GPU","Grupo Polo Urbano","https://www.atu.gob.pe/","America/Lima","es"
"CTA","Corredor Azul","https://www.atu.gob.pe/","America/Lima","es"
"ETUL","ETUL","https://www.atu.gob.pe/","America/Lima","es"
"DEF","DEF","https://www.atu.gob.pe/","America/Lima","es"
"CMO","Corredor Morado","https://www.atu.gob.pe/","America/Lima","es"
"GPO","GPO","https://www.atu.gob.pe/","America/Lima","es"
"SMA","SMA","https://www.atu.gob.pe/","America/Lima","es"
"BGA","Bucaramanga","https://www.metrolinea.gov.co/","America/Bogota","es"
"MAP","Machupicchu","https://www.atu.gob.pe/","America/Lima","es"
"CAR","","","Europe/Berlin","de"
"DM1","DM1","https://www.atu.gob.pe/","America/Lima","es"
"IBA","IBA","https://www.atu.gob.pe/","America/Lima","es"
"GPC","Grupo Polo Corredores","https://www.atu.gob.pe/","America/Lima","es"
"ATU","ATU","https://www.atu.gob.pe/","America/Lima","es"
