stop_name;orient;route;stop_lat;stop_lon;step_m;bandera;cartela;totem;mod_sim;mod_inv;mod_dob;pan_inf;braille;ilumin;podot;banca_apoyo;pape;emergencia;electr;vereda
ICA;NS;"301;305;";-12.044094;-77.036107;4;Buenas condiciones;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Malas condiciones
CALLAO;SN;"301;305;";-12.043644;-77.035835;3.94;Buenas condiciones;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones
HUANCAVELICA;NS;"303;336;";-12.045303;-77.036606;3.84;Buenas condiciones;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones
EMANCIPACION;SN;"301;305;";-12.046714;-77.037684;4.1;Buenas condiciones;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Malas condiciones
MOQUEGUA;NS;"301;305;";-12.047017;-77.038065;4.17;Buenas condiciones;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Malas condiciones
PIEROLA;NS;"303;336;";-12.048419;-77.038945;4.08;Buenas condiciones;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente
QUILCA;SN;"301;305;";-12.051253;-77.038701;4.1;Buenas condiciones;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Malas condiciones
ILO;NS;"301;305;";-12.051767;-77.038527;4.12;Malas condiciones;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones
VILLARAN;NS;"303;336;";-12.053157;-77.03854;4.22;Malas condiciones;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente
URUGUAY;SN;"0;";-12.054271;-77.038353;2.9;Buenas condiciones;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Malas condiciones
BOLIVIA;NS;"301;305;";-12.055532;-77.038188;4.29;Malas condiciones;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Malas condiciones
BOLIVIA;SN;"301;305;";-12.056132;-77.038198;4.2;Malas condiciones;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Malas condiciones
ESPAÑA;NS;"301;305;";-12.057424;-77.038099;4.29;Malas condiciones;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones;Inexistente;Inexistente;Malas condiciones;Inexistente;Inexistente;Buenas condiciones
ND_1;NS;"303;336;";-12.056585;-77.038094;4.13;Malas condiciones;Incompleto;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Malas condiciones
ND_2;SN;"301;305;";-12.058339;-77.037939;4.56;Buenas condiciones;Incompleto;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones
ND_3;NS;"303;";-12.06076;-77.037916;4.17;Malas condiciones;Incompleto;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Malas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones
ND_4;NS;"301;";-12.061041;-77.037841;4.3;Malas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Malas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Malas condiciones
HUANCAYO;NS;"303;305;336;";-12.061828;-77.037789;4.3;Malas condiciones;Buenas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Malas condiciones;Inexistente;Inexistente;Inexistente;Inexistente;Inexistente;Buenas condiciones
